valid,hour,solar,tmpf,relh,speed,precip,et,soil04t,soil12t,soil24t,soil50t,soil12vwc,soil24vwc,soil50vwc
8/20/2013 6:00,,0,67.44,90.7,3.25,0,0,73.6,66.74,64.94,63.14,0.28,0.08,0.19
8/20/2013 7:00,,6,68.11,90.5,4.43,0,0,73.29,66.72,64.96,63.16,0.28,0.08,0.19
8/20/2013 8:00,,80,69.42,86.5,5.48,0,0.13,72.99,66.67,64.98,63.14,0.28,0.08,0.19
8/20/2013 9:00,,210,72.61,82,7.81,0,0.33,72.88,66.63,64.99,63.12,0.28,0.08,0.19
8/20/2013 10:00,,435,75.61,79.29,9.05,0,0.69,73.18,66.61,64.99,63.14,0.28,0.08,0.19
8/20/2013 11:00,,530,78.12,72.6,8.84,0,0.87,74.07,66.58,64.98,63.14,0.28,0.08,0.19
8/20/2013 12:00,,738,80.85,68.33,10.74,0,1.2,75.42,66.56,65.01,63.14,0.28,0.08,0.19
8/20/2013 13:00,,823,83.43,66.13,10.63,0,1.38,77.11,66.56,65.01,63.14,0.28,0.08,0.19
8/20/2013 14:00,,835,85.3,62.08,10.83,0,1.43,79.02,66.56,65.01,63.12,0.28,0.08,0.19
8/20/2013 15:00,,795,86.63,60.36,11.52,0,1.36,80.82,66.6,65.05,63.12,0.28,0.08,0.19
8/20/2013 16:00,,686,87.22,58.49,12.46,0,1.17,82.26,66.7,65.01,63.12,0.28,0.08,0.19
8/20/2013 17:00,,535,87.37,56.19,11.27,0,0.93,83.19,66.79,65.05,63.12,0.28,0.08,0.19
8/20/2013 18:00,,398,87.01,55.96,10.63,0,0.7,83.55,66.92,65.07,63.12,0.28,0.08,0.19
8/20/2013 19:00,,205,85.57,59.55,8.94,0,0.37,83.44,67.12,65.07,63.12,0.28,0.08,0.19
8/20/2013 20:00,,49,82.17,70.49,5.55,0,0.09,82.89,67.3,65.08,63.12,0.28,0.08,0.19
8/20/2013 21:00,,1,76.66,83.1,2.9,0,0,81.97,67.5,65.08,63.09,0.28,0.07,0.19
8/20/2013 22:00,,0,73.92,84.1,2.87,0,0,80.98,67.68,65.08,63.12,0.28,0.07,0.19
8/20/2013 23:00,,0,72.01,88.6,2.63,0,0,80.01,67.84,65.14,63.1,0.28,0.07,0.19
8/21/2013 0:00,,0,70.93,89.6,3.04,0,0,79.11,67.96,65.14,63.09,0.28,0.07,0.19
8/21/2013 1:00,,0,70.7,87.4,4.26,0,0,78.3,68.07,65.16,63.09,0.28,0.07,0.19
8/21/2013 2:00,,0,71.37,85.6,5.43,0,0,77.56,68.13,65.21,63.09,0.28,0.07,0.19
8/21/2013 3:00,,0,70.75,88.5,5,0,0,76.93,68.18,65.25,63.1,0.28,0.07,0.19
8/21/2013 4:00,,0,70.25,88.2,5.3,0,0,76.37,68.22,65.26,63.09,0.28,0.07,0.19
8/21/2013 5:00,,0,71.2,85.7,5.73,0,0,75.88,68.2,65.32,63.09,0.28,0.07,0.19
8/21/2013 6:00,,0,71.47,88.7,5.35,0,0,75.45,68.2,65.35,63.1,0.28,0.07,0.19
8/21/2013 7:00,,12,70.7,88,5.62,0,0.01,75.09,68.2,65.37,63.09,0.28,0.07,0.19
8/21/2013 8:00,,101,72.72,82.9,7.46,0,0.16,74.75,68.18,65.43,63.09,0.28,0.07,0.19
8/21/2013 9:00,,250,75.16,77.82,8.86,0,0.4,74.62,68.13,65.44,63.09,0.28,0.07,0.19
8/21/2013 10:00,,414,77.95,72.41,9.22,0,0.67,74.89,68.11,65.48,63.1,0.28,0.07,0.19
8/21/2013 11:00,,562,80.96,68.82,9.04,0,0.95,75.69,68.11,65.5,63.1,0.28,0.07,0.19
8/21/2013 12:00,,679,83.43,63.13,8.48,0,1.19,76.93,68.05,65.52,63.07,0.28,0.07,0.19
8/21/2013 13:00,,749,85.69,59.28,8.47,0,1.34,78.51,68.02,65.57,63.07,0.28,0.07,0.19
8/21/2013 14:00,,723,87.46,59.18,8.43,0,1.32,80.24,68.05,65.55,63.09,0.28,0.07,0.18
8/21/2013 15:00,,408,86.94,60.18,7.83,0,0.75,81.88,68.05,65.59,63.09,0.28,0.07,0.18
8/21/2013 16:00,,548,88.03,56.65,6.71,0,1.03,82.58,68.14,65.61,63.09,0.28,0.07,0.18
8/21/2013 17:00,,302,86.77,63.74,6.07,0,0.57,83.17,68.23,65.62,63.1,0.28,0.07,0.18
8/21/2013 18:00,,218,85.53,62.05,5.52,0,0.41,83.43,68.34,65.62,63.09,0.28,0.07,0.18
8/21/2013 19:00,,97,83.73,71.81,3.3,0,0.19,83.12,68.49,65.66,63.09,0.28,0.07,0.18
8/21/2013 20:00,,50,82.18,70.41,3.37,0,0.1,82.63,68.63,65.7,63.1,0.28,0.07,0.18
8/21/2013 21:00,,1,78.15,81.6,3,0,0,81.93,68.77,65.7,63.1,0.28,0.07,0.18
8/21/2013 22:00,,0,75.09,85.4,2.15,0,0,81.03,68.92,65.71,63.09,0.28,0.07,0.18
8/21/2013 23:00,,0,74.52,86.2,2.69,0,0,80.15,69.01,65.73,63.07,0.28,0.07,0.18
8/22/2013 0:00,,0,73.44,88.6,1.53,0,0,79.36,69.1,65.77,63.12,0.28,0.07,0.18
8/22/2013 1:00,,0,72.07,87.6,2.7,0,0,78.64,69.19,65.79,63.09,0.28,0.07,0.18
8/22/2013 2:00,,0,74.68,83,5.36,0,0,78.04,69.22,65.82,63.09,0.28,0.07,0.18
8/22/2013 3:00,,0,75.61,81.1,6.18,0,0,77.59,69.22,65.86,63.12,0.28,0.07,0.18
8/22/2013 4:00,,0,75.9,83.5,6.83,0,0,77.27,69.24,65.89,63.1,0.28,0.07,0.18
8/22/2013 5:00,,0,75,79.88,5.68,0,0,76.96,69.24,65.95,63.12,0.28,0.07,0.18
8/22/2013 6:00,,0,72.48,88.3,2.08,0,0,76.66,69.22,65.95,63.12,0.28,0.07,0.18
8/22/2013 7:00,,5,70.52,91.6,1.08,0,0,76.3,69.22,65.98,63.12,0.28,0.07,0.18
8/22/2013 8:00,,22,70.63,92.6,0.5,0,0.04,75.92,69.19,66.02,63.1,0.28,0.07,0.18
8/22/2013 9:00,,55,71.02,92.4,1.34,0,0.1,75.63,69.17,66.07,63.12,0.28,0.07,0.18
8/22/2013 10:00,,98,72.07,89.3,3.67,0,0.17,75.45,69.15,66.09,63.14,0.28,0.07,0.18
8/22/2013 11:00,,240,73.27,81.9,4.71,0,0.41,75.45,69.1,66.15,63.12,0.28,0.07,0.18
8/22/2013 12:00,,429,75.85,75.59,5.54,0,0.74,75.79,69.08,66.18,63.14,0.28,0.07,0.18
8/22/2013 13:00,,556,78.73,73.54,7.46,0,0.95,76.73,69.04,66.18,63.14,0.28,0.07,0.18
8/22/2013 14:00,,501,80.47,71.51,5.28,0,0.91,78.04,69.03,66.22,63.14,0.28,0.07,0.18
8/22/2013 15:00,,815,84.36,54.14,4.88,0,1.54,79.3,69.01,66.18,63.16,0.28,0.07,0.18
8/22/2013 16:00,,722,85.82,54.89,3.37,0,1.42,81.16,69.03,66.24,63.14,0.28,0.07,0.18
8/22/2013 17:00,,598,86.4,56.08,2.95,0,1.19,83.01,69.03,66.22,63.16,0.27,0.07,0.18
8/22/2013 18:00,,342,84.16,66.6,3.77,0,0.66,84.25,69.08,66.24,63.16,0.27,0.07,0.18
8/22/2013 19:00,,216,82,74.15,5.02,0,0.4,84.58,69.15,66.25,63.16,0.27,0.07,0.18
8/22/2013 20:00,,49,78.55,82.3,3.08,0,0.09,84.09,69.3,66.29,63.16,0.27,0.07,0.18
8/22/2013 21:00,,1,74.34,85.9,2.18,0,0,83.07,69.4,66.25,63.18,0.27,0.07,0.18
8/22/2013 22:00,,0,73.44,90.7,2.01,0,0,81.9,69.51,66.31,63.18,0.27,0.07,0.18
8/22/2013 23:00,,0,71.82,88.8,0.72,0,0,80.8,69.57,66.31,63.18,0.27,0.07,0.18
8/23/2013 0:00,,0,70.47,95.6,0.16,0,0,79.79,69.67,66.34,63.19,0.27,0.07,0.18
8/23/2013 1:00,,0,69.64,97,1.13,0,0,78.89,69.75,66.36,63.19,0.27,0.07,0.18
8/23/2013 2:00,,0,68.88,97.7,1.79,0,0,78.21,69.76,66.36,63.19,0.27,0.07,0.18
8/23/2013 3:00,,0,69.53,92.9,2.93,0,0,77.63,69.75,66.38,63.19,0.27,0.07,0.18
